,zpid,zipcode,yearBuilt,dateSold,schoolMinDistance,resoFacts.hasWaterfrontView,bedrooms,zestimate,price/sqft,resoFacts.taxAnnualAmount,longitude,daysOnZillow,resoFacts.garageSpaces,livingAreaValue,bathrooms,schoolMaxRating,resoFacts.isSeniorCommunity,lotAreaValue,latitude,cityId_124815,cityId_125641,cityId_13560,cityId_13752,cityId_14563,cityId_19307,cityId_19341,cityId_20367,cityId_25911,cityId_32805,cityId_39760,cityId_398464,cityId_44434,cityId_46375,cityId_51467,cityId_52625,cityId_53787,cityId_56330,cityId_7433,zipcode_32780,zipcode_32796,zipcode_32901,zipcode_32903,zipcode_32904,zipcode_32905,zipcode_32907,zipcode_32908,zipcode_32909,zipcode_32920,zipcode_32922,zipcode_32926,zipcode_32927,zipcode_32931,zipcode_32934,zipcode_32935,zipcode_32937,zipcode_32940,zipcode_32949,zipcode_32950,zipcode_32951,zipcode_32952,zipcode_32953,zipcode_32955,zipcode_32976,soldPrice
0,43513667.0,32909,1984,2024-02-14,0.7,0,3.0,238700.0,223.9488117001828,2548.0,-80.6349,1.0,0.0,1094.0,2.0,4.0,0,11761.2,27.976576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000.0
1,43408312.0,32922,1957,2024-02-13,2.0,0,3.0,126000.0,164.0625,877.0,-80.75252,1.0,0.0,768.0,1.0,4.0,0,13503.6,28.381496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126000.0
2,2068968809.0,32909,1985,2024-02-13,3.1,0,3.0,216600.0,170.80745341614906,0.0,-80.65889,1.0,1.0,966.0,2.0,3.0,0,10018.8,27.978214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165000.0
3,43412045.0,32922,1952,2024-02-12,1.5,0,3.0,240600.0,191.8421052631579,2205.0,-80.736176,296.0,0.0,1235.0,1.0,4.0,0,7405.2,28.369532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236925.0
4,43482665.0,32907,1985,2024-02-12,1.9,0,3.0,267400.0,150.5838967424708,590.0,-80.69194,2.0,2.0,1627.0,2.0,3.0,0,12632.4,28.021555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000.0
5,43515871.0,32909,1988,2024-02-12,0.5,0,3.0,230000.0,150.7208387942333,691.0,-80.66416,2.0,2.0,1526.0,2.0,4.0,0,10454.4,27.96949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000.0
6,43400335.0,32926,1968,2024-02-09,3.0,0,3.0,250000.0,253.03643724696357,2414.0,-80.77416,5.0,0.0,988.0,1.0,3.0,0,9147.6,28.397217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250000.0
7,43467371.0,32935,1958,2024-02-09,0.5,0,3.0,147000.0,165.54054054054055,1617.0,-80.64135,5.0,0.0,888.0,1.0,6.0,0,7405.2,28.13536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,147000.0
8,43497564.0,32905,1968,2024-02-09,1.2,0,3.0,210000.0,145.9346768589298,1787.0,-80.5859,5.0,1.0,1439.0,2.0,2.0,0,8712.0,28.01491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210000.0
9,43510026.0,32908,1988,2024-02-09,1.3,0,3.0,250000.0,186.01190476190476,645.0,-80.692726,5.0,1.0,1344.0,2.0,5.0,0,11761.2,27.98087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000.0
